"Age","Preferred.Tour.Duration","Accessibility","Site.Name","Tour.Duration","Tourist.Rating","System.Response.Time","Recommendation.Accuracy","VR.Experience.Quality","Satisfaction"
42,8,"True","Colosseum",3,3.4,1.99,89,4.1,3
65,6,"True","Colosseum",3,2.6,1.71,87,4.1,3
44,3,"False","Great Wall of China",7,2.3,4.28,90,4.6,3
37,4,"False","Colosseum",3,1.3,1.51,87,4.7,3
24,5,"True","Colosseum",4,3.8,3.66,88,4.6,4
49,3,"False","Machu Picchu",6,2.4,3.15,90,4.1,3
55,5,"False","Eiffel Tower",2,3.8,4.05,94,4.4,4
27,3,"True","Machu Picchu",6,4.6,1.78,86,4.6,5
44,7,"False","Colosseum",8,1.7,1.5,98,4.1,3
24,3,"False","Machu Picchu",3,4.3,2.42,86,4.2,4
51,8,"False","Eiffel Tower",7,4.3,4.76,90,4.5,4
53,3,"True","Taj Mahal",9,5,4.01,93,4.7,5
40,4,"True","Machu Picchu",2,4.9,2.71,100,5,5
44,6,"True","Colosseum",1,2.7,2.07,93,4,3
51,6,"True","Colosseum",3,3.7,1.67,90,4.6,4
57,5,"False","Taj Mahal",3,3,3.69,89,4.2,3
45,3,"True","Great Wall of China",1,1.5,3.22,96,4.1,3
20,8,"True","Colosseum",2,4,2.05,88,4.1,4
70,8,"False","Machu Picchu",3,1.6,1.76,96,4.2,3
18,4,"True","Great Wall of China",4,1.8,4.09,90,4.1,3
57,6,"False","Eiffel Tower",2,4.1,1.86,99,4.8,4
38,6,"False","Great Wall of China",6,4.3,2.97,99,4.5,4
25,3,"True","Machu Picchu",6,3.8,3.82,92,4.9,4
23,7,"True","Colosseum",4,2.8,4.95,97,4.2,3
39,3,"False","Taj Mahal",6,1.5,1.85,92,4.4,3
27,4,"False","Machu Picchu",5,4.6,1.97,90,4.7,5
45,6,"True","Colosseum",1,4.2,1.81,97,4,4
55,8,"True","Taj Mahal",5,2.4,3.69,89,4.5,3
20,5,"True","Great Wall of China",2,2.9,4.2,89,4.3,3
35,7,"False","Machu Picchu",5,3.3,4.65,94,4.8,3
36,6,"True","Colosseum",5,2.8,2.29,100,4.2,3
19,3,"False","Great Wall of China",2,1.4,2.34,91,4.5,3
69,5,"True","Machu Picchu",3,2.4,4.94,89,4.5,3
44,8,"False","Machu Picchu",2,5,2.84,88,4.9,5
62,7,"False","Colosseum",4,2.8,3.21,91,4.9,3
37,4,"False","Machu Picchu",7,1.5,1.98,100,4.3,3
33,3,"False","Taj Mahal",1,1.7,2.55,85,4.6,3
44,6,"True","Eiffel Tower",2,2.7,3.57,95,4.2,3
66,8,"False","Machu Picchu",7,2.8,4.65,91,4.6,3
34,3,"True","Machu Picchu",6,2.6,2.91,96,5,3
51,4,"True","Great Wall of China",3,1.2,1.88,93,4.7,3
51,8,"False","Colosseum",5,1.8,1.95,100,4.7,3
51,6,"True","Great Wall of China",4,1.9,2.26,99,4.8,3
27,7,"False","Machu Picchu",1,1.3,1.93,90,4.2,3
55,5,"True","Colosseum",2,3.5,2.68,94,4,4
48,4,"False","Colosseum",5,3.9,3.33,97,4.3,4
55,5,"False","Machu Picchu",4,3.5,4.29,96,4.9,4
18,4,"False","Machu Picchu",5,4.4,2.13,89,4.1,4
29,7,"False","Colosseum",2,4.7,3.43,95,4.5,5
26,6,"True","Colosseum",5,1.2,4.21,98,4.2,3
34,8,"False","Great Wall of China",1,3.8,1.86,89,4.3,4
26,5,"True","Colosseum",6,1.3,4.47,95,5,3
36,6,"False","Taj Mahal",6,4.6,4.13,91,5,5
28,6,"True","Great Wall of China",8,1.2,2.56,89,4,3
28,8,"True","Colosseum",1,1.1,1.95,94,4.2,3
53,3,"False","Colosseum",3,3,4.49,92,4.4,3
60,8,"True","Machu Picchu",1,1.8,3.55,97,4.4,3
62,7,"True","Machu Picchu",4,4.9,2.06,91,4.5,5
47,3,"True","Great Wall of China",6,3.9,4.01,86,4.5,4
38,4,"False","Colosseum",7,1.4,2.56,93,4,3
45,7,"True","Taj Mahal",4,1.6,1.57,85,5,3
23,8,"True","Eiffel Tower",2,1.2,2.94,90,4.4,3
44,3,"False","Eiffel Tower",2,3.2,2.49,97,4,3
47,6,"True","Taj Mahal",6,4.8,2.79,88,5,5
25,8,"True","Eiffel Tower",4,2.9,2.44,88,4.3,3
53,4,"True","Colosseum",7,2.1,2.16,85,4.3,3
20,7,"True","Colosseum",8,2.5,3.15,87,4.3,3
25,6,"True","Taj Mahal",3,3.2,4.39,97,4.6,3
47,8,"True","Colosseum",3,1.6,3.72,99,4.8,3
24,4,"True","Machu Picchu",6,3.1,2.5,99,4.6,3
58,8,"False","Colosseum",2,2.1,4.25,90,4.4,3
25,3,"True","Great Wall of China",2,3.6,4.16,89,4,4
43,6,"False","Eiffel Tower",2,1.2,4.85,85,4.6,3
37,5,"False","Taj Mahal",3,2.6,2.29,97,4.8,3
30,6,"False","Eiffel Tower",5,3.3,2.23,86,4.3,3
70,7,"True","Machu Picchu",2,3,1.5,94,4.3,3
59,8,"True","Colosseum",5,4.7,4.25,97,4.9,5
51,6,"True","Taj Mahal",4,2,2.88,92,4.7,3
39,5,"False","Taj Mahal",3,1.6,2.7,97,4.5,3
40,4,"False","Colosseum",2,1.1,4.66,93,5,3
58,6,"False","Eiffel Tower",2,2,3.7,98,4.3,3
57,6,"True","Colosseum",5,3.8,1.61,93,4,4
50,4,"True","Eiffel Tower",3,2.2,4.89,100,4.9,3
20,6,"True","Machu Picchu",3,3.3,2.87,92,4.5,3
66,4,"False","Machu Picchu",3,3.8,4.06,95,4.5,4
68,8,"False","Machu Picchu",2,3.8,3.7,86,4.9,4
24,5,"False","Eiffel Tower",4,4.5,1.67,97,4.1,5
51,3,"False","Machu Picchu",9,1.1,2.95,100,4.3,3
53,6,"True","Great Wall of China",1,1.8,2.62,87,4.5,3
58,3,"True","Colosseum",3,2.2,4.8,90,4.1,3
66,6,"True","Taj Mahal",5,4.2,1.93,99,4.7,4
30,8,"False","Great Wall of China",3,4.9,3.89,93,5,5
43,7,"True","Great Wall of China",4,3,4.54,87,4.8,3
23,6,"True","Taj Mahal",4,2.9,3.48,91,4.2,3
57,5,"True","Eiffel Tower",7,2.1,4.61,88,4.1,3
18,4,"False","Taj Mahal",4,3.5,2.56,85,4.1,4
59,4,"False","Eiffel Tower",3,2.6,4.82,100,5,3
55,4,"False","Great Wall of China",7,1.5,3.02,90,4.6,3
64,4,"True","Eiffel Tower",1,3.9,2.19,87,4.5,4
66,5,"False","Taj Mahal",2,1.4,3.82,91,4,3
46,8,"True","Taj Mahal",3,4.5,4.74,88,5,5
39,3,"False","Taj Mahal",4,1.7,4.86,93,4.2,3
51,6,"False","Eiffel Tower",1,4.6,3.83,100,4.3,5
46,8,"True","Eiffel Tower",2,1.6,1.78,95,4.1,3
24,6,"True","Colosseum",2,1.5,2.62,93,4.7,3
54,4,"True","Colosseum",5,1.6,4.65,86,4.1,3
36,6,"False","Eiffel Tower",7,4.3,3.88,86,4.6,4
57,4,"False","Eiffel Tower",5,4.9,1.84,99,4.8,5
52,8,"False","Colosseum",4,2.3,2.06,93,4.9,3
62,5,"True","Machu Picchu",5,4.9,3.8,99,4.4,5
32,3,"True","Machu Picchu",5,2.1,4.8,90,4.5,3
45,3,"False","Great Wall of China",6,1.7,4.67,90,5,3
38,3,"True","Great Wall of China",4,2.9,4.31,94,4.5,3
38,6,"True","Eiffel Tower",2,3.3,4.43,98,5,3
24,3,"True","Machu Picchu",7,2.7,4.1,93,4.4,3
58,8,"False","Eiffel Tower",6,1.9,4.21,95,5,3
48,6,"True","Taj Mahal",6,4.9,4.98,100,4.8,5
48,8,"True","Taj Mahal",1,1.6,2.61,91,4.2,3
39,7,"True","Taj Mahal",4,1.1,3.93,100,4.5,3
61,4,"False","Machu Picchu",3,1.6,1.83,89,4.3,3
35,4,"True","Taj Mahal",3,2.6,1.89,96,4.6,3
22,8,"True","Taj Mahal",3,3,4.39,89,4.8,3
61,6,"False","Colosseum",2,1.9,3.52,100,4.7,3
18,6,"True","Colosseum",4,3.9,4.07,96,4.8,4
29,3,"True","Great Wall of China",2,1.6,2.6,94,4.5,3
32,3,"True","Great Wall of China",1,2.2,2.6,86,4.7,3
46,5,"True","Great Wall of China",3,3.1,2.37,98,4.8,3
66,3,"False","Great Wall of China",6,4.7,4.46,97,4.9,5
53,5,"False","Great Wall of China",1,1.6,3.57,85,4.2,3
64,4,"False","Colosseum",5,4.3,2.99,93,4.7,4
19,3,"False","Colosseum",7,2,1.74,98,4.3,3
62,4,"True","Great Wall of China",8,3.7,2.33,87,4.4,4
47,6,"False","Machu Picchu",7,4,3.41,85,4.2,4
42,8,"False","Colosseum",7,2.2,4.98,96,4.2,3
43,5,"False","Great Wall of China",4,2.3,4.65,99,4,3
54,7,"True","Taj Mahal",8,4.9,1.94,95,4.1,5
24,5,"False","Machu Picchu",6,4.7,2.22,97,4.2,5
24,4,"False","Colosseum",5,3.8,3.36,96,4.7,4
20,5,"False","Colosseum",1,2.2,4.71,91,4.4,3
27,6,"False","Eiffel Tower",4,4.8,4.14,97,4.4,5
44,5,"True","Colosseum",6,1.3,4.7,88,4.5,3
28,7,"False","Machu Picchu",5,4.2,4.27,92,4.3,4
36,5,"False","Great Wall of China",2,1.6,3.07,91,4.6,3
52,7,"True","Great Wall of China",7,2.9,3.17,87,4.8,3
29,8,"False","Great Wall of China",7,4.8,1.76,85,4.5,5
44,3,"False","Great Wall of China",5,1.4,2.29,85,4.2,3
35,4,"False","Machu Picchu",1,1.7,4.79,94,4.9,3
53,5,"False","Machu Picchu",2,1.8,2.42,95,4.1,3
31,7,"False","Great Wall of China",1,2.7,1.65,90,4.4,3
27,4,"True","Machu Picchu",2,3.3,4.34,86,4.4,3
53,7,"False","Colosseum",1,4.7,3.32,88,4.3,5
66,4,"False","Great Wall of China",3,3.1,4.48,90,5,3
55,4,"False","Great Wall of China",3,1.7,2.49,87,5,3
35,3,"False","Great Wall of China",2,2.3,4.82,90,4.9,3
36,8,"True","Eiffel Tower",5,2.4,3.12,93,4.3,3
51,6,"True","Colosseum",5,4.9,1.73,94,4.4,5
46,6,"True","Eiffel Tower",7,1.2,2.67,92,4.8,3
70,6,"True","Colosseum",5,3,2.54,91,4.7,3
25,6,"True","Machu Picchu",7,4.5,3.44,92,4,5
21,6,"False","Machu Picchu",4,4.5,3.69,99,5,5
56,4,"False","Eiffel Tower",4,1.2,4.57,99,4.3,3
29,4,"True","Great Wall of China",7,4.7,4.73,93,4,5
39,5,"True","Taj Mahal",3,5,3.2,90,4,5
68,8,"True","Taj Mahal",2,1.8,1.88,89,4.8,3
27,7,"True","Taj Mahal",5,4.8,2.05,93,4.3,5
44,6,"True","Taj Mahal",4,1.7,2.6,87,4.3,3
44,8,"False","Eiffel Tower",6,1,1.75,95,4.8,3
32,3,"True","Great Wall of China",2,3.9,4.28,90,4,4
28,8,"False","Great Wall of China",1,4.3,3.75,96,4.8,4
62,4,"False","Taj Mahal",6,5,4.07,99,4.2,5
45,5,"True","Machu Picchu",1,4.2,4.52,90,5,4
28,4,"False","Taj Mahal",3,2.1,4.86,96,4.6,3
22,3,"False","Colosseum",8,4.5,4.1,87,4.5,5
47,3,"False","Great Wall of China",1,2.6,1.89,93,4.6,3
34,4,"True","Eiffel Tower",3,4.8,4.62,86,4,5
44,6,"True","Taj Mahal",6,2.2,4.58,87,4.2,3
43,5,"True","Eiffel Tower",4,2.4,4.7,98,4.2,3
46,4,"False","Great Wall of China",6,2.4,2.16,97,4.3,3
45,5,"True","Great Wall of China",2,2.7,4.16,96,5,3
26,7,"True","Machu Picchu",1,4.6,3.93,98,4.3,5
62,5,"True","Great Wall of China",5,4.7,2.89,88,4.5,5
43,7,"False","Machu Picchu",8,4.7,3.7,90,4.6,5
61,3,"True","Taj Mahal",2,4.5,3.01,87,4.2,5
51,3,"True","Colosseum",6,1.6,2.49,85,4.7,3
65,7,"True","Colosseum",1,1.3,1.58,91,4.2,3
21,7,"False","Great Wall of China",6,1.7,4.4,97,4.2,3
41,3,"False","Machu Picchu",5,1.1,1.58,99,4.9,3
46,8,"True","Colosseum",3,1.7,4.97,99,4.1,3
46,3,"False","Eiffel Tower",8,4.8,3.59,85,4.7,5
32,4,"True","Machu Picchu",4,3.7,3.3,88,4.2,4
33,4,"False","Colosseum",3,1.3,4.41,98,4.1,3
34,8,"True","Eiffel Tower",2,3.5,2.63,87,4.2,4
35,6,"False","Taj Mahal",3,2.4,1.96,87,4.5,3
59,5,"False","Eiffel Tower",4,1.8,4.1,89,4.4,3
52,4,"False","Colosseum",2,4.6,1.81,91,4.7,5
30,4,"False","Great Wall of China",5,4.1,4.36,91,4.2,4
26,5,"False","Taj Mahal",1,2.6,2.75,85,4.1,3
57,6,"True","Eiffel Tower",3,2.2,4.76,96,4.1,3
40,4,"False","Taj Mahal",1,2.9,3.12,85,4.2,3
30,4,"False","Colosseum",2,4,4.08,92,4.1,4
33,7,"False","Eiffel Tower",1,3.8,3.17,87,4.5,4
42,8,"True","Eiffel Tower",4,4.6,1.82,92,4.6,5
54,8,"False","Great Wall of China",2,1.7,4.43,98,4.9,3
29,7,"True","Taj Mahal",2,2.9,1.87,96,5,3
51,5,"False","Colosseum",2,4.8,4.01,85,4,5
31,5,"True","Great Wall of China",6,3.2,2.05,86,4.8,3
35,7,"False","Eiffel Tower",1,3.7,4.99,92,4.7,4
65,4,"True","Machu Picchu",2,3.3,4.6,100,4.9,3
66,7,"True","Machu Picchu",9,1.1,3.95,90,4.5,3
62,4,"False","Eiffel Tower",3,1.5,3.29,97,4.3,3
58,5,"False","Eiffel Tower",1,2.8,2.85,96,4.2,3
30,8,"False","Great Wall of China",7,2.3,3.58,90,5,3
20,6,"False","Great Wall of China",8,3.9,2.96,89,4.4,4
46,3,"True","Great Wall of China",2,3.1,2.63,94,4.4,3
45,3,"False","Machu Picchu",1,4.9,3.41,94,4.7,5
45,3,"False","Taj Mahal",1,2.1,3.82,92,4.2,3
28,4,"False","Eiffel Tower",4,1.9,2.83,85,4.3,3
41,8,"False","Machu Picchu",4,2,1.8,99,4.1,3
38,6,"False","Taj Mahal",5,4.2,4.74,93,4.4,4
25,6,"True","Great Wall of China",7,4.7,3.58,90,4.9,5
28,6,"False","Machu Picchu",3,3.9,4.91,92,4.6,4
55,8,"True","Great Wall of China",4,1.2,2.05,91,4.8,3
61,6,"True","Machu Picchu",3,3.9,2.38,92,4.3,4
28,7,"True","Machu Picchu",5,5,2.3,97,4.4,5
23,4,"True","Great Wall of China",2,2.7,4.78,87,4.2,3
29,7,"True","Taj Mahal",4,3.1,1.68,89,4.9,3
49,6,"False","Colosseum",2,5,2.82,95,4.9,5
60,6,"False","Machu Picchu",5,2.7,2.85,95,4.9,3
61,7,"True","Great Wall of China",6,3.8,4.84,89,4.7,4
66,5,"True","Great Wall of China",3,1.9,3.81,95,4.6,3
49,8,"False","Eiffel Tower",4,3.7,3.59,99,4.2,4
40,7,"False","Great Wall of China",4,3.1,2.21,88,4.7,3
54,4,"True","Eiffel Tower",5,2.7,4.09,86,4.5,3
31,6,"True","Machu Picchu",5,1.6,4.69,92,4.7,3
68,8,"True","Taj Mahal",6,3.5,3.84,93,4.5,4
33,8,"False","Machu Picchu",5,3,2.31,88,4.8,3
19,4,"False","Taj Mahal",5,4,3.64,92,4,4
55,7,"False","Taj Mahal",7,4.5,4.61,90,4.4,5
69,4,"False","Eiffel Tower",1,2.7,3.7,99,4,3
37,7,"True","Colosseum",3,3.7,3.3,92,4.5,4
19,7,"False","Taj Mahal",3,4.2,4.19,85,4.3,4
48,7,"True","Machu Picchu",5,4,3.67,88,4.9,4
27,6,"False","Eiffel Tower",6,1.2,4.36,88,4.4,3
41,6,"False","Taj Mahal",5,4.7,4.83,89,4.2,5
28,4,"False","Machu Picchu",4,4.9,4.7,95,4.4,5
56,3,"True","Taj Mahal",4,3.2,4.17,87,4.3,3
49,8,"False","Colosseum",2,3.7,3.06,95,4.4,4
44,3,"False","Taj Mahal",6,3.8,1.82,99,4.3,4
52,8,"True","Eiffel Tower",4,4.1,4.17,96,4.7,4
26,3,"False","Taj Mahal",5,4.8,4.69,98,4.8,5
62,6,"False","Eiffel Tower",5,4.8,3.5,97,4.9,5
65,6,"False","Taj Mahal",6,3.8,2.55,97,4.7,4
45,4,"False","Great Wall of China",7,1.1,3.65,86,4.4,3
38,6,"True","Eiffel Tower",3,4.1,4.46,92,4.8,4
48,7,"False","Colosseum",3,2.8,2.74,91,4,3
29,5,"True","Taj Mahal",1,1.5,2.95,97,4.6,3
20,5,"True","Colosseum",5,4.2,4.37,99,4.9,4
55,5,"False","Machu Picchu",4,1.3,3.86,86,4.7,3
52,4,"False","Great Wall of China",4,4.6,1.61,93,4.8,5
66,5,"True","Taj Mahal",2,1.6,3.46,89,4.7,3
37,4,"True","Taj Mahal",5,3.8,2.97,88,4.9,4
33,6,"True","Taj Mahal",3,2.3,1.51,90,4.6,3
57,8,"False","Taj Mahal",6,3.3,4.24,87,4.8,3
68,3,"True","Machu Picchu",3,2.7,4.19,95,4.4,3
61,6,"False","Taj Mahal",5,2.4,4.57,94,4.6,3
59,3,"True","Eiffel Tower",3,1.9,3.67,95,4.7,3
30,5,"True","Colosseum",2,2.9,1.87,87,4.7,3
38,7,"True","Great Wall of China",4,4.8,2.92,90,4.2,5
28,4,"False","Taj Mahal",7,2.5,2.03,100,4.9,3
30,8,"False","Great Wall of China",4,4.1,4.9,88,4.2,4
38,4,"False","Colosseum",3,4.5,3.63,88,4.6,5
42,7,"False","Great Wall of China",2,1.5,4.99,97,4.1,3
45,6,"True","Eiffel Tower",1,4.2,1.73,97,4.3,4
30,6,"True","Great Wall of China",4,4.5,2.94,96,4.5,5
25,4,"True","Machu Picchu",7,1.4,3.32,86,4.9,3
57,3,"True","Machu Picchu",1,4.6,2.88,97,4.7,5
47,3,"True","Machu Picchu",7,2.2,2.6,94,4.6,3
34,4,"True","Taj Mahal",6,4.3,2.18,100,4.4,4
40,8,"False","Colosseum",1,4.7,3.41,87,4.5,5
59,8,"False","Machu Picchu",9,3.5,2.63,93,4.7,4
57,3,"True","Great Wall of China",2,2,1.53,90,4.5,3
26,5,"True","Great Wall of China",1,4.1,3.06,98,4.7,4
55,7,"True","Colosseum",3,2.8,3.18,97,4.3,3
52,4,"True","Colosseum",3,2.1,2.57,97,4.3,3
52,8,"False","Machu Picchu",5,1.2,4.42,100,4,3
38,8,"True","Eiffel Tower",2,3.6,3.04,88,4.9,4
62,8,"False","Eiffel Tower",4,4,4.62,100,4.9,4
23,6,"True","Colosseum",6,1.9,4.72,91,4.1,3
50,7,"False","Taj Mahal",3,1.2,1.65,98,4.1,3
36,7,"False","Taj Mahal",2,1.4,4.89,99,4.8,3
61,4,"False","Eiffel Tower",3,3,4.29,99,4.3,3
56,6,"False","Eiffel Tower",4,3.1,1.64,86,4.5,3
23,4,"True","Taj Mahal",1,4.4,3.91,87,4.5,4
64,4,"True","Eiffel Tower",3,4.4,4.86,100,4.5,4
42,8,"False","Great Wall of China",8,2.1,4.71,90,4.6,3
53,8,"True","Great Wall of China",5,2.5,4,89,4.8,3
26,7,"False","Taj Mahal",6,2.9,4.76,90,4.8,3
52,8,"False","Colosseum",1,1.7,4.32,88,4.9,3
28,8,"True","Eiffel Tower",3,3.2,1.64,90,4.3,3
21,5,"True","Taj Mahal",2,3.9,4.8,90,4.1,4
63,4,"False","Colosseum",3,4,2.94,94,4.1,4
59,5,"True","Machu Picchu",1,1.9,4.56,87,4.2,3
38,5,"True","Colosseum",1,2.5,1.67,88,4.2,3
36,8,"False","Machu Picchu",7,4.8,2.54,99,4.1,5
27,7,"False","Great Wall of China",1,4,2.39,100,4.3,4
66,4,"False","Colosseum",5,2.4,4.09,89,4.8,3
34,3,"False","Taj Mahal",3,4.7,2.51,96,4.7,5
52,5,"True","Eiffel Tower",2,2.8,1.64,88,4.9,3
44,7,"True","Taj Mahal",4,1.6,3.45,87,5,3
55,6,"True","Great Wall of China",3,1.8,3.96,86,4.2,3
49,8,"False","Great Wall of China",4,1.7,2.88,98,4.3,3
33,3,"True","Colosseum",2,4,1.68,86,4.7,4
36,8,"False","Great Wall of China",1,3.2,4.09,100,4.4,3
35,7,"False","Eiffel Tower",4,2.6,3.5,99,4.8,3
68,7,"False","Machu Picchu",7,1.5,2.5,99,4.3,3
27,5,"True","Taj Mahal",6,3,4.99,85,4.8,3
27,6,"False","Eiffel Tower",5,2.7,3.03,97,4.8,3
41,3,"False","Great Wall of China",4,2.1,3.3,99,4.6,3
30,6,"False","Eiffel Tower",6,4.4,1.58,90,4.3,4
63,4,"False","Eiffel Tower",2,1.1,1.74,99,4.9,3
31,4,"False","Colosseum",7,3.2,4.75,95,4.8,3
52,4,"True","Eiffel Tower",3,3.6,2.74,90,4.8,4
57,7,"True","Taj Mahal",5,3.7,2.48,100,4.5,4
66,3,"True","Great Wall of China",3,2.6,1.58,87,4.6,3
23,7,"True","Taj Mahal",3,2.9,2.41,91,4.8,3
32,4,"True","Machu Picchu",1,2.7,3.16,94,4.5,3
35,6,"False","Eiffel Tower",2,2.8,4.08,98,4.4,3
65,8,"False","Colosseum",3,1.4,1.64,92,4.6,3
55,7,"True","Great Wall of China",7,4.2,2.2,96,4.2,4
42,5,"True","Colosseum",2,3.9,4.15,90,4.6,4
56,4,"True","Taj Mahal",5,4.4,2.25,87,4.2,4
40,6,"False","Eiffel Tower",5,3.2,3.07,94,5,3
45,7,"False","Great Wall of China",3,4.5,2.98,98,4.2,5
38,7,"False","Colosseum",5,1,4.09,85,4.1,3
61,3,"False","Great Wall of China",7,4.5,1.6,93,4.3,5
55,4,"True","Machu Picchu",3,2.6,3.07,98,4.7,3
63,3,"False","Taj Mahal",4,3.2,4.79,94,4.5,3
31,4,"True","Eiffel Tower",2,2.8,4.02,90,4.3,3
50,7,"False","Great Wall of China",6,3.5,2.16,97,4.7,4
42,3,"False","Machu Picchu",5,1.5,2.5,97,4.6,3
37,7,"False","Machu Picchu",4,1.5,2.21,96,4.7,3
66,6,"False","Taj Mahal",2,1.9,2.96,85,4.4,3
60,3,"True","Eiffel Tower",1,2.8,1.7,98,4.7,3
42,3,"True","Taj Mahal",1,2.2,4.3,94,4.1,3
63,4,"False","Machu Picchu",4,3.4,4.1,92,4.6,3
36,3,"True","Machu Picchu",4,4.5,3.76,89,4.2,5
55,7,"False","Great Wall of China",8,2.7,1.94,100,4.1,3
34,8,"False","Colosseum",3,3.3,2.06,87,4.9,3
18,8,"True","Machu Picchu",2,2.9,4.55,88,4,3
21,6,"True","Great Wall of China",5,4.6,3.06,86,4.3,5
65,8,"False","Taj Mahal",3,1.2,3.4,95,4.2,3
66,5,"True","Great Wall of China",5,4,4.68,93,4.7,4
27,8,"True","Eiffel Tower",2,1.4,3.86,88,4.9,3
66,4,"True","Colosseum",4,2.2,4.55,87,4.5,3
51,4,"True","Great Wall of China",8,3.2,2.64,97,4.4,3
53,4,"False","Eiffel Tower",3,2,4.42,88,4.8,3
56,5,"False","Machu Picchu",5,4.4,3.98,97,4.9,4
38,7,"False","Machu Picchu",1,1.9,4.13,91,4.6,3
64,8,"False","Colosseum",5,3.8,3.48,95,4.1,4
31,8,"True","Great Wall of China",6,1.3,1.78,90,4.2,3
50,3,"False","Eiffel Tower",3,3.4,4.66,93,4.2,3
68,4,"False","Machu Picchu",7,4.8,3.12,86,4.9,5
26,8,"False","Taj Mahal",4,1.6,4.5,99,4.8,3
37,5,"False","Colosseum",3,3.4,3.33,90,4.3,3
64,6,"True","Machu Picchu",7,2.7,3.5,93,4.3,3
51,3,"True","Colosseum",6,4.7,4.7,93,4.2,5
18,7,"True","Great Wall of China",1,1.7,4.46,89,4.5,3
52,3,"False","Taj Mahal",4,3.7,3.09,90,4.9,4
46,4,"True","Taj Mahal",1,3.2,3.18,94,4.9,3
22,6,"False","Colosseum",7,4.4,4.89,85,4.5,4
62,7,"False","Great Wall of China",5,1.7,3.57,97,4.7,3
59,6,"False","Eiffel Tower",6,1.9,3.73,97,4.2,3
28,8,"True","Eiffel Tower",2,5,3.12,87,4.1,5
61,4,"True","Machu Picchu",1,1.8,2.06,98,4.6,3
69,8,"True","Great Wall of China",6,1.3,2.39,86,4.2,3
49,5,"False","Great Wall of China",4,2.4,2.33,99,4.2,3
24,6,"False","Colosseum",4,4.6,3.29,97,4.7,5
33,4,"True","Eiffel Tower",5,4.5,4.17,94,4.5,5
64,3,"True","Machu Picchu",5,3.8,1.55,99,4.7,4
70,4,"True","Colosseum",2,4.9,4.07,85,4.2,5
30,6,"True","Taj Mahal",3,3.4,3.54,87,4.5,3
29,8,"True","Taj Mahal",4,3.2,2.97,99,4.8,3
58,5,"True","Machu Picchu",7,2.8,3.12,99,4.2,3
67,4,"True","Taj Mahal",5,1.2,3.94,91,4.7,3
53,6,"False","Colosseum",3,3.6,2.66,92,4.6,4
40,8,"False","Taj Mahal",5,4,4.61,92,4.4,4
28,5,"False","Machu Picchu",7,3.7,2.94,96,4.5,4
22,5,"False","Machu Picchu",3,1.2,4.29,95,4.7,3
32,4,"True","Machu Picchu",3,3,4.53,89,4.1,3
40,4,"True","Machu Picchu",5,4.5,4.8,86,4.8,5
64,4,"False","Colosseum",7,1.8,2.67,87,4.8,3
60,7,"True","Taj Mahal",4,1.6,4.68,99,4.1,3
61,4,"True","Taj Mahal",4,4.4,2.89,100,4.8,4
28,3,"True","Colosseum",4,3.2,4.48,85,4.1,3
31,6,"True","Great Wall of China",4,2,2.73,96,4.1,3
50,7,"False","Colosseum",2,3.4,1.95,95,4.3,3
31,4,"True","Colosseum",6,2.7,1.73,85,4.3,3
62,8,"False","Eiffel Tower",6,2.3,2.23,95,4.5,3
64,5,"False","Taj Mahal",7,1.4,2.51,86,4.3,3
21,7,"True","Great Wall of China",6,3.9,3.76,86,4.8,4
43,3,"True","Colosseum",4,3.2,4.25,91,4.5,3
40,7,"True","Great Wall of China",8,2.3,4.21,88,5,3
46,5,"True","Great Wall of China",3,4.8,4.32,99,4.4,5
66,8,"False","Colosseum",1,1.4,2.47,87,4.1,3
66,3,"True","Taj Mahal",3,2.9,4.86,94,4.1,3
18,8,"False","Machu Picchu",2,2.3,1.75,86,4.6,3
55,8,"True","Eiffel Tower",6,2.7,4.3,91,4.8,3
61,4,"False","Eiffel Tower",5,4.4,3.63,91,4.1,4
45,8,"True","Taj Mahal",5,3.3,1.91,92,4.1,3
67,3,"True","Machu Picchu",7,4.7,2.91,100,4.9,5
63,5,"False","Colosseum",2,1.1,2.01,92,4.6,3
39,5,"True","Taj Mahal",9,3.4,4.06,89,4.4,3
60,7,"True","Eiffel Tower",5,1.4,4.31,95,4.9,3
25,7,"True","Taj Mahal",4,4.6,4.47,91,4.8,5
44,4,"True","Eiffel Tower",3,3,2.88,87,4.9,3
24,6,"False","Colosseum",3,2.9,4.99,87,5,3
53,3,"True","Machu Picchu",4,2.8,1.52,97,4.5,3
39,7,"False","Taj Mahal",5,1,1.7,88,4.9,3
61,7,"True","Great Wall of China",2,1.7,3.01,94,4.4,3
52,6,"True","Colosseum",4,2.6,4.93,88,4.1,3
63,3,"False","Machu Picchu",3,2.1,2.91,91,4.6,3
52,8,"True","Machu Picchu",5,1.3,1.61,97,4.1,3
57,6,"True","Colosseum",2,2.8,5,91,4.9,3
45,5,"False","Eiffel Tower",4,4.8,4.45,98,4,5
21,8,"True","Taj Mahal",4,1.6,2.18,92,4.4,3
30,6,"True","Machu Picchu",4,2.9,2.26,93,4.8,3
52,3,"True","Eiffel Tower",4,4.5,2.18,97,4.2,5
37,7,"True","Machu Picchu",6,1.4,4.47,85,4.3,3
37,3,"True","Colosseum",5,1.7,2.41,85,4.7,3
43,3,"False","Eiffel Tower",5,4.9,4.35,93,4.7,5
